Name,HP,Atk,Def,SpA,SpD,Spe,Type1,Type2,Ability1,Ability2,WeightHg,FemaleThreshold,ExpRate
Nidoking,81,102,87,95,85,85,Poison,Ground,Mold Breaker,Mold Breaker,620,0,MEDIUM_SLOW
Nidoqueen,90,92,97,85,95,76,Poison,Ground,Battle Armor,Battle Armor,600,254,MEDIUM_SLOW
Nidoran-F,55,47,52,40,40,41,Poison,,Poison Point,Rivalry,70,254,MEDIUM_SLOW
Nidoran-M,46,57,40,40,40,50,Poison,,Poison Point,Rivalry,90,0,MEDIUM_SLOW
Nidorina,70,62,67,55,55,56,Poison,,Poison Point,Rivalry,200,254,MEDIUM_SLOW
Nidorino,61,72,57,55,55,65,Poison,,Poison Point,Rivalry,195,0,MEDIUM_SLOW
Nincada,31,45,90,30,30,40,Bug,Ground,Compound Eyes,,55,127,ERRATIC
Ninetales,79,89,79,109,99,100,Fire,,Magic Guard,,199,191,MEDIUM_FAST
Ninjask,61,100,45,50,50,160,Bug,Flying,Speed Boost,,120,127,ERRATIC
Noctowl,100,86,50,86,96,70,Normal,Flying,Tinted Lens,Tinted Lens,408,127,MEDIUM_FAST
Nosepass,30,45,135,45,90,30,Rock,,Solid Rock,Solid Rock,970,127,MEDIUM_FAST
Numel,60,60,40,65,45,35,Fire,Ground,Drought,Simple,240,127,MEDIUM_FAST
Nuzleaf,70,70,40,60,40,60,Grass,Dark,Chlorophyll,Chlorophyll,280,127,MEDIUM_SLOW
Octillery,84,108,88,108,88,48,Water,,Rock Head,Rock Head,285,127,MEDIUM_FAST
Oddish,45,50,55,75,65,30,Grass,Poison,Chlorophyll,,54,127,MEDIUM_SLOW
Omanyte,35,40,100,90,55,35,Rock,Water,Swift Swim,Shell Armor,75,31,MEDIUM_FAST
Omastar,70,60,125,115,70,55,Rock,Water,Swift Swim,Shell Armor,350,31,MEDIUM_FAST
Onix,55,80,160,10,55,70,Rock,Ground,Rock Head,Rock Head,2100,127,MEDIUM_FAST
Pachirisu,60,65,70,65,90,95,Electric,,Adaptability,Adaptability,39,127,MEDIUM_FAST
Palkia,90,120,100,150,120,100,Water,Dragon,Pressure,,3360,255,SLOW
Paras,35,70,55,45,55,25,Bug,Grass,Dry Skin,Dry Skin,54,127,MEDIUM_FAST
Parasect,60,95,80,60,80,30,Bug,Grass,Dry Skin,Dry Skin,295,127,MEDIUM_FAST
Pelipper,60,80,100,95,70,65,Water,Flying,Unburden,,280,127,MEDIUM_FAST
Persian,65,92,60,65,65,115,Normal,,Super Luck,Limber,320,127,MEDIUM_FAST
Phanpy,90,60,60,40,40,40,Ground,,Dry Skin,,335,127,MEDIUM_FAST
Phione,80,90,90,90,90,80,Water,,Hydration,,31,255,SLOW
Pichu,20,40,15,35,35,60,Electric,,Static,,20,127,MEDIUM_FAST
Pidgeot,83,100,75,100,70,101,Normal,Flying,Intimidate,Intimidate,395,127,MEDIUM_SLOW
Pidgeotto,63,60,55,50,50,71,Normal,Flying,Tangled Feet,Tangled Feet,300,127,MEDIUM_SLOW
Pidgey,40,45,40,35,35,56,Normal,Flying,Tangled Feet,Tangled Feet,18,127,MEDIUM_SLOW
Pikachu,35,55,30,50,40,90,Electric,,Reckless,,60,127,MEDIUM_FAST
Piloswine,100,110,80,60,60,80,Ice,Ground,Snow Cloak,Snow Cloak,558,127,SLOW
Pineco,50,65,90,35,35,15,Bug,,Rough Skin,,72,127,MEDIUM_FAST
Pinsir,65,125,100,55,70,85,Bug,,Hyper Cutter,Mold Breaker,550,127,SLOW
Piplup,53,61,53,51,56,40,Water,,Torrent,Torrent,52,31,MEDIUM_SLOW
Plusle,60,50,40,85,75,95,Electric,,Plus,,42,127,MEDIUM_FAST
Politoed,90,85,75,90,100,90,Water,,Swift Swim,Swift Swim,339,127,MEDIUM_SLOW
Poliwag,40,50,40,40,40,90,Water,,Swift Swim,Swift Swim,124,127,MEDIUM_SLOW
Poliwhirl,65,65,65,50,50,90,Water,,Swift Swim,Swift Swim,200,127,MEDIUM_SLOW
Poliwrath,90,95,95,70,90,90,Water,Fighting,Swift Swim,Swift Swim,540,127,MEDIUM_SLOW
Ponyta,50,85,55,65,65,90,Fire,,Reckless,Reckless,300,127,MEDIUM_FAST
Poochyena,35,55,35,30,30,35,Dark,,Quick Feet,Quick Feet,136,127,MEDIUM_FAST
Porygon,65,60,70,85,75,40,Normal,,Download,Download,365,255,MEDIUM_FAST
Porygon-Z,85,80,70,135,75,90,Normal,,Download,Download,340,255,MEDIUM_FAST
Porygon2,85,80,90,105,95,60,Normal,,Trace,Trace,325,255,MEDIUM_FAST
Primeape,75,115,80,50,90,95,Fighting,,Reckless,Reckless,320,127,MEDIUM_FAST
Prinplup,64,81,68,66,76,50,Water,,Swift Swim,Torrent,230,31,MEDIUM_SLOW
Probopass,70,75,145,75,150,40,Rock,Steel,Solid Rock,Solid Rock,3400,127,MEDIUM_FAST
Psyduck,50,52,48,65,50,55,Water,,Simple,Unaware,196,127,MEDIUM_FAST
Pupitar,70,84,70,65,70,51,Rock,Ground,Shed Skin,Shed Skin,1520,127,SLOW
Purugly,91,82,74,64,69,112,Normal,,Limber,Thick Fat,438,191,FAST
Quagsire,95,85,85,65,65,35,Water,Ground,Simple,Poison Point,750,127,MEDIUM_FAST
Quilava,58,64,58,80,65,80,Fire,,Blaze,,190,31,MEDIUM_SLOW
Qwilfish,75,115,95,65,65,85,Water,Poison,Swift Swim,Swift Swim,39,127,MEDIUM_FAST
Raichu,60,90,60,90,85,110,Electric,,Lightning Rod,,300,127,MEDIUM_FAST
Raikou,90,85,75,135,100,115,Electric,,Pressure,,1780,255,SLOW
Ralts,28,25,25,45,35,40,Psychic,,Trace,Trace,66,127,SLOW
Rampardos,97,180,80,15,70,58,Rock,,Rock Head,Mold Breaker,1025,31,ERRATIC
Rapidash,70,105,75,85,85,110,Fire,,Reckless,Reckless,950,127,MEDIUM_FAST
Raticate,55,81,60,50,70,97,Normal,,Guts,Guts,185,127,MEDIUM_FAST
Rattata,30,56,35,25,35,72,Normal,,Guts,Guts,35,127,MEDIUM_FAST
Rayquaza,105,150,90,150,90,95,Dragon,Flying,Air Lock,,2065,255,SLOW
Regice,80,50,100,120,200,50,Ice,,Filter,Ice Body,1750,255,SLOW
Regigigas,110,160,110,80,110,100,Normal,,Clear Body,,4200,255,SLOW
Regirock,80,120,200,50,100,50,Rock,,Solid Rock,Clear Body,2300,255,SLOW
Registeel,80,80,200,35,200,5,Steel,,Filter,Clear Body,2050,255,SLOW
Relicanth,100,90,130,45,65,55,Water,Rock,Swift Swim,Rock Head,234,31,SLOW
Remoraid,35,65,35,65,35,65,Water,,Sniper,Sniper,120,127,MEDIUM_FAST
Rhydon,105,130,120,45,45,40,Ground,Rock,Lightning Rod,Rock Head,1200,127,SLOW
Rhyhorn,80,85,95,30,30,25,Ground,Rock,Lightning Rod,Rock Head,1150,127,SLOW
Rhyperior,115,140,130,55,55,40,Ground,Rock,Solid Rock,Solid Rock,2828,127,SLOW
Riolu,40,70,40,35,40,60,Fighting,,Adaptability,Adaptability,202,31,MEDIUM_SLOW
Roselia,50,60,45,100,80,65,Grass,Poison,Natural Cure,Natural Cure,20,127,MEDIUM_SLOW
Roserade,60,70,55,125,105,90,Grass,Poison,Natural Cure,Natural Cure,145,127,MEDIUM_SLOW
Rotom,50,65,107,105,107,91,Electric,Ghost,Levitate,,3,255,MEDIUM_FAST
Rotom-Fan,50,65,107,105,107,91,Electric,Ghost,Levitate,,3,255,MEDIUM_FAST
Rotom-Frost,50,65,107,105,107,91,Electric,Ghost,Levitate,,3,255,MEDIUM_FAST
Rotom-Heat,50,65,107,105,107,91,Electric,Ghost,Levitate,,3,255,MEDIUM_FAST
Rotom-Mow,50,65,107,105,107,91,Electric,Ghost,Levitate,,3,255,MEDIUM_FAST
Rotom-Wash,50,65,107,105,107,91,Electric,Ghost,Levitate,,3,255,MEDIUM_FAST
Sableye,60,105,105,65,95,50,Dark,Ghost,Clear Body,Clear Body,110,127,MEDIUM_SLOW
Salamence,95,135,80,110,85,100,Dragon,Flying,Intimidate,Intimidate,1026,127,SLOW
Sandshrew,50,75,90,10,35,40,Ground,,Rough Skin,Rough Skin,120,127,MEDIUM_FAST
Sandslash,75,100,120,25,65,65,Ground,,Rough Skin,Rough Skin,295,127,MEDIUM_FAST
Sceptile,70,100,65,100,80,120,Grass,,Overgrow,,522,31,MEDIUM_SLOW
Scizor,70,130,100,55,80,65,Bug,Steel,Technician,Technician,1180,127,MEDIUM_FAST
Scyther,70,110,80,55,80,105,Bug,Flying,Technician,Technician,560,127,MEDIUM_FAST
Seadra,55,65,95,95,45,85,Water,,Sniper,Sniper,250,127,MEDIUM_FAST
Seaking,80,92,65,65,80,68,Water,,Swift Swim,Swift Swim,390,127,MEDIUM_FAST
Sealeo,90,60,90,75,90,45,Ice,Water,Ice Body,Ice Body,876,127,MEDIUM_SLOW
Seedot,40,40,50,30,30,30,Grass,,Chlorophyll,Chlorophyll,40,127,MEDIUM_SLOW
Seel,65,45,55,45,70,45,Water,,Thick Fat,Thick Fat,900,127,MEDIUM_FAST
Sentret,35,46,34,35,45,20,Normal,,Adaptability,Adaptability,60,127,MEDIUM_FAST
Seviper,73,105,60,60,60,100,Poison,,Hyper Cutter,Shed Skin,525,127,FLUCTUATING
Sharpedo,70,120,40,95,40,95,Water,Dark,Tinted Lens,,888,127,SLOW
Shaymin,100,100,100,100,100,100,Grass,,Natural Cure,,21,255,MEDIUM_SLOW
Shaymin-Sky,100,103,75,120,75,127,Grass,Flying,Serene Grace,,52,255,MEDIUM_SLOW
Shedinja,1,100,5,100,10,80,Bug,Ghost,Wonder Guard,,12,255,ERRATIC
Shelgon,65,95,100,60,80,50,Dragon,,Rock Head,Shell Armor,1105,127,SLOW
Shellder,30,65,100,45,45,40,Water,,Filter,Shell Armor,40,127,SLOW
Shellos,76,48,48,57,62,34,Water,,Dry Skin,Dry Skin,63,127,MEDIUM_FAST
Shieldon,60,82,118,2,88,30,Rock,Steel,Solid Rock,Battle Armor,570,31,ERRATIC
Shiftry,90,100,60,90,60,80,Grass,Dark,Chlorophyll,Chlorophyll,596,127,MEDIUM_SLOW
Shinx,45,65,34,40,34,45,Electric,,Rivalry,Rivalry,95,127,MEDIUM_SLOW
Shroomish,60,40,60,40,60,35,Grass,,Poison Heal,Poison Heal,45,127,FLUCTUATING
Shuckle,50,10,230,10,230,5,Bug,Rock,Solid Rock,Solid Rock,205,127,MEDIUM_SLOW
Shuppet,44,85,35,83,33,45,Ghost,,Clear Body,Insomnia,23,127,FAST
Silcoon,50,35,55,25,25,15,Bug,,Shed Skin,Shed Skin,100,127,MEDIUM_FAST
Skarmory,85,85,140,40,80,70,Steel,Flying,Filter,Filter,505,127,SLOW
Skiploom,55,45,50,45,65,80,Grass,Flying,Chlorophyll,Chlorophyll,10,127,MEDIUM_SLOW
Skitty,50,45,45,35,35,50,Normal,,Cute Charm,Cute Charm,110,191,FAST
Skorupi,40,50,90,30,55,65,Poison,Bug,Sand Veil,Sniper,120,127,SLOW
Skuntank,103,93,67,91,61,84,Poison,Dark,Aftermath,Aftermath,380,127,MEDIUM_FAST
Slaking,150,170,100,95,65,100,Normal,,Truant,,1305,127,SLOW
Slakoth,60,60,60,35,35,30,Normal,,Truant,,240,127,SLOW
Slowbro,95,75,110,100,80,30,Water,Psychic,Simple,Shell Armor,785,127,MEDIUM_FAST
Slowking,95,75,80,100,110,30,Water,Psychic,Simple,Magic Guard,795,127,MEDIUM_FAST
Slowpoke,90,65,65,40,40,15,Water,Psychic,Simple,Unaware,360,127,MEDIUM_FAST
Slugma,70,50,80,90,80,20,Fire,,Drought,Vital Spirit,350,127,MEDIUM_FAST
Smeargle,60,70,75,70,85,95,Normal,,Trace,Trace,580,127,FAST
Smoochum,45,30,15,85,65,65,Ice,Psychic,Snow Cloak,Snow Cloak,60,254,MEDIUM_FAST
Sneasel,55,95,55,35,75,115,Dark,Ice,Inner Focus,Inner Focus,280,127,MEDIUM_SLOW
Snorlax,165,110,75,65,110,30,Normal,,Thick Fat,Thick Fat,4600,31,SLOW
Snorunt,50,50,50,70,50,50,Ice,,Snow Cloak,Snow Cloak,168,127,MEDIUM_FAST
Snover,60,62,50,62,60,40,Grass,Ice,Snow Warning,Adaptability,505,127,SLOW
Snubbull,60,80,50,40,40,30,Normal,,Intimidate,Intimidate,78,191,FAST
Solrock,90,95,85,55,75,70,Rock,Psychic,Levitate,,1540,255,FAST
Spearow,40,60,30,31,31,70,Normal,Flying,Sniper,,20,127,MEDIUM_FAST
Spheal,70,40,50,55,50,25,Ice,Water,Thick Fat,Ice Body,395,127,MEDIUM_SLOW
Spinarak,40,60,40,40,40,50,Bug,Poison,Intimidate,Insomnia,85,127,FAST
Spinda,80,80,80,80,80,80,Normal,,Tangled Feet,Tangled Feet,50,127,FAST
Spiritomb,73,108,108,108,108,35,Ghost,Dark,Pressure,,1080,127,MEDIUM_FAST
Spoink,60,55,35,70,80,60,Psychic,,Thick Fat,Own Tempo,306,127,FAST
Squirtle,44,48,65,50,64,43,Water,,Shell Armor,Shell Armor,90,31,MEDIUM_SLOW
Stantler,73,105,72,105,75,85,Normal,,Intimidate,Intimidate,712,127,SLOW
Staraptor,85,120,70,50,50,105,Normal,Flying,Reckless,,249,127,MEDIUM_SLOW
Staravia,55,75,50,40,40,80,Normal,Flying,Reckless,,155,127,MEDIUM_SLOW
Starly,40,55,30,30,30,60,Normal,Flying,Keen Eye,,20,127,MEDIUM_SLOW
Starmie,60,80,85,100,100,115,Water,Psychic,Magic Guard,Natural Cure,800,255,SLOW
Staryu,30,45,55,70,55,85,Water,,Magic Guard,Natural Cure,345,255,SLOW
Steelix,100,115,200,35,75,30,Steel,Ground,Solid Rock,Rock Head,4000,127,MEDIUM_FAST
Stunky,63,63,47,61,41,74,Poison,Dark,Aftermath,Aftermath,192,127,MEDIUM_FAST
Sudowoodo,70,100,115,30,65,30,Rock,,Rock Head,Rock Head,380,127,MEDIUM_FAST
Suicune,120,75,115,90,115,85,Water,,Pressure,,1870,255,SLOW
Sunflora,75,75,55,105,85,30,Grass,,Solar Power,Solar Power,85,127,MEDIUM_SLOW
Sunkern,30,30,30,30,30,30,Grass,,Solar Power,Solar Power,18,127,MEDIUM_SLOW
Surskit,70,30,62,100,82,65,Bug,Water,Swift Swim,,17,127,MEDIUM_FAST
Swablu,45,40,60,40,75,50,Normal,Flying,Natural Cure,,12,127,ERRATIC
Swalot,100,73,83,73,83,55,Poison,,Gluttony,Gluttony,800,127,FLUCTUATING
Swampert,100,110,90,85,90,60,Water,Ground,Swift Swim,Torrent,819,31,MEDIUM_SLOW
Swellow,60,85,60,50,50,125,Normal,Flying,Guts,,198,127,MEDIUM_SLOW
Swinub,50,50,40,30,30,50,Ice,Ground,Snow Cloak,Snow Cloak,65,127,SLOW
Taillow,40,55,30,30,30,85,Normal,Flying,Guts,,23,127,MEDIUM_SLOW
Tangela,65,55,115,100,50,60,Grass,,Chlorophyll,Overgrow,350,127,MEDIUM_FAST
Tangrowth,100,100,125,110,90,10,Grass,,Magic Guard,Magic Guard,1286,127,MEDIUM_FAST
Tauros,85,110,105,40,70,110,Normal,,Intimidate,Intimidate,884,0,SLOW
Teddiursa,60,80,50,50,50,40,Normal,,Guts,Quick Feet,88,127,MEDIUM_FAST
Tentacool,40,40,35,50,100,70,Water,Poison,Rain Dish,Clear Body,455,127,SLOW
Tentacruel,80,80,65,90,120,100,Water,Poison,Rain Dish,Clear Body,550,127,SLOW
Togekiss,85,50,95,120,115,80,Normal,Flying,Serene Grace,Serene Grace,380,31,FAST
Togepi,35,20,65,40,65,20,Normal,,Serene Grace,Serene Grace,15,31,FAST
Togetic,55,40,85,80,105,40,Normal,Flying,Serene Grace,Serene Grace,32,31,FAST
Torchic,45,60,40,70,50,45,Fire,,Blaze,,25,31,MEDIUM_SLOW
Torkoal,70,85,140,85,105,20,Fire,,White Smoke,Shell Armor,804,127,MEDIUM_FAST
Torterra,95,111,105,63,105,56,Grass,Ground,Thick Fat,Shell Armor,3100,31,MEDIUM_SLOW
Totodile,50,65,64,44,48,43,Water,,Torrent,Torrent,95,31,MEDIUM_SLOW
Toxicroak,83,106,65,86,65,85,Poison,Fighting,Dry Skin,Dry Skin,444,127,MEDIUM_FAST
Trapinch,45,100,45,45,45,10,Ground,,Arena Trap,Arena Trap,150,127,MEDIUM_SLOW
Treecko,40,45,35,65,55,70,Grass,,Overgrow,,50,31,MEDIUM_SLOW
Tropius,105,92,105,92,105,51,Grass,Flying,Chlorophyll,Overgrow,1000,127,SLOW
Turtwig,55,68,64,45,55,31,Grass,,Overgrow,Shell Armor,102,31,MEDIUM_SLOW
Typhlosion,78,84,78,110,85,100,Fire,,Blaze,,795,31,MEDIUM_SLOW
Tyranitar,100,134,110,100,100,61,Rock,Dark,Solid Rock,Battle Armor,2020,127,SLOW
Tyrogue,35,35,35,35,35,35,Fighting,,Scrappy,Scrappy,210,0,MEDIUM_FAST
UNOWN,48,102,48,102,48,48,Psychic,,Wonder Guard,Wonder Guard,50,255,MEDIUM_FAST
Umbreon,95,65,110,60,130,65,Dark,,Synchronize,Synchronize,270,31,MEDIUM_FAST
Ursaring,100,140,105,55,80,55,Normal,,Guts,Quick Feet,1258,127,MEDIUM_FAST
Uxie,95,75,130,75,130,95,Psychic,,Levitate,,3,255,SLOW
Vaporeon,130,65,60,110,95,65,Water,,Hydration,Hydration,290,31,MEDIUM_FAST
Venomoth,70,65,60,90,75,90,Bug,Poison,Tinted Lens,Tinted Lens,125,127,MEDIUM_FAST
Venonat,60,55,50,40,55,45,Bug,Poison,Compound Eyes,Tinted Lens,300,127,MEDIUM_FAST
Venusaur,80,92,83,100,100,80,Grass,Poison,Chlorophyll,Overgrow,1000,31,MEDIUM_SLOW
Vespiquen,80,102,102,102,102,70,Bug,Flying,Tinted Lens,Swarm,385,254,MEDIUM_SLOW
Vibrava,50,80,70,100,70,100,Ground,Dragon,Tinted Lens,Levitate,153,127,MEDIUM_SLOW
Victreebel,80,105,65,105,85,70,Grass,Poison,Chlorophyll,,155,127,MEDIUM_SLOW
Vigoroth,80,80,80,55,65,90,Normal,,Vital Spirit,,465,127,SLOW
Vileplume,75,80,85,110,90,50,Grass,Poison,Chlorophyll,,186,127,MEDIUM_SLOW
Volbeat,65,73,55,77,75,85,Bug,,Tinted Lens,Tinted Lens,177,0,ERRATIC
Voltorb,40,30,50,55,55,100,Electric,,Aftermath,Aftermath,104,255,MEDIUM_FAST
Vulpix,38,41,40,65,65,65,Fire,,Flame Body,,99,191,MEDIUM_FAST
Wailmer,140,70,45,70,45,60,Water,,Pressure,Pressure,1300,127,FLUCTUATING
Wailord,165,110,65,110,100,5,Water,,Pressure,Pressure,3980,127,FLUCTUATING
Walrein,110,95,90,95,90,65,Ice,Water,Filter,Ice Body,1506,127,MEDIUM_SLOW
Wartortle,59,63,80,65,80,58,Water,,Shell Armor,Shell Armor,225,31,MEDIUM_SLOW
Weavile,70,120,65,45,85,125,Dark,Ice,Technician,Inner Focus,340,127,MEDIUM_SLOW
Weedle,40,35,30,20,20,50,Bug,Poison,Shield Dust,,32,127,MEDIUM_FAST
Weepinbell,65,90,50,85,45,55,Grass,Poison,Chlorophyll,,64,127,MEDIUM_SLOW
Weezing,65,90,120,90,85,60,Poison,,Levitate,,95,127,MEDIUM_FAST
Whiscash,110,78,73,76,71,60,Water,Ground,Hydration,Swift Swim,236,127,MEDIUM_FAST
Whismur,64,51,23,51,23,28,Normal,,Scrappy,Soundproof,163,127,MEDIUM_SLOW
Wigglytuff,140,80,75,85,70,45,Normal,,Aftermath,,120,191,FAST
Wingull,40,30,30,55,30,85,Water,Flying,Gluttony,,95,127,MEDIUM_FAST
Wobbuffet,190,33,58,33,58,33,Psychic,,Shadow Tag,,285,127,MEDIUM_FAST
Wooper,55,45,45,25,25,15,Water,Ground,Water Absorb,Water Absorb,85,127,MEDIUM_FAST
Wormadam,60,79,85,79,105,36,Bug,Grass,Snow Cloak,,65,254,MEDIUM_FAST
Wormadam-Sandy,60,79,105,59,85,36,Bug,Ground,Snow Cloak,,65,254,MEDIUM_FAST
Wormadam-Trash,60,69,95,69,95,36,Bug,Steel,Snow Cloak,,65,254,MEDIUM_FAST
Wurmple,45,45,35,20,30,20,Bug,,Shield Dust,Shield Dust,36,127,MEDIUM_FAST
Wynaut,95,23,48,23,48,23,Psychic,,Shadow Tag,,140,127,MEDIUM_FAST
Xatu,65,95,70,95,70,95,Psychic,Flying,Magic Guard,Magic Guard,150,127,MEDIUM_FAST
Yanma,65,65,45,75,45,95,Bug,Flying,Compound Eyes,Compound Eyes,380,127,MEDIUM_FAST
Yanmega,86,76,86,116,56,95,Bug,Flying,Speed Boost,Tinted Lens,515,127,MEDIUM_FAST
Zangoose,73,115,60,60,60,90,Normal,,Hyper Cutter,Immunity,403,127,ERRATIC
Zapdos,90,90,85,125,110,100,Electric,Flying,Drizzle,Pressure,526,255,SLOW
Zigzagoon,38,30,41,30,41,60,Normal,,Gluttony,Gluttony,175,127,MEDIUM_FAST
Zubat,40,45,35,30,40,55,Poison,Flying,Inner Focus,,75,127,MEDIUM_FAST
