ID Number,Name,Additional Effect,Category,Power,Type,Accuracy,PP,Additional Effect Chance (%),Target(s),Priority,Contact Move,Blocked by Protect,Reflected by Magic Coat,Affected by Snatch,Affected by Mirror Move,Triggers Kings Rock,Hide HP Bars,Remove Target's Shadow,Contest Effect,Contest Type
162,Super Fang,Deals damage equal to 1/2 target's current hp,Physical,1,Dark,100,10,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,5,4
163,Slash,High crit ratio,Physical,70,Normal,100,20,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,0
164,Substitute,Substitute effect,Status,0,Normal,0,2,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,23,3
165,Struggle,Struggle effect,Physical,50,Normal,0,1,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,0
166,Sketch,Sketch effect,Status,0,Normal,0,1,0,One opponent,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,3
167,Triple Kick,Hits the target up to 3 times; increases power by 10 with each hit,Physical,30,Fighting,100,10,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,0
168,Thief,Splash effect,Physical,40,Dark,100,10,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,12,4
169,Spider Web,Prevents target from switching out or fleeing,Status,0,Bug,0,10,0,Both opponents,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,13,3
170,Mind Reader,Next move used by user guaranteed to hit,Status,0,Normal,0,5,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,20,3
171,HP Ghost,None,Special,70,Ghost,100,15,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,19,3
172,Flame Wheel,Thaws user; chance to Burn,Physical,70,Fire,100,25,10,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7,1
173,Snore,Can only be used while asleep; chance of causing Flinch,Special,80,Normal,100,15,30,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,2
174,Curse,Curse effect,Status,0,???,0,3,0,One opponent,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,21,4
175,Flail,Higher power the less HP the user has,Physical,1,Normal,100,15,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,15,2
176,Conversion 2,Conversion2 effect,Status,0,Normal,0,30,0,User,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,0
177,Aeroblast,Chance of either Paralyzing; Burning; or Freezing target,Special,120,Flying,100,5,30,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,22,0
178,Cotton Spore,Sharply lowers Spd (Status),Status,0,Grass,100,40,0,Both opponents,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1
179,Reversal,Higher power the less HP the user has,Physical,1,Fighting,100,15,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,15,0
180,Spite,Decreases PP of target's last move used by 4,Status,0,Ghost,100,10,0,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,19,4
181,Powder Snow,Chance to Freeze,Special,40,Ice,100,25,10,Both opponents,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,23,2
182,Protect,Protect/ Detect effect,Status,0,Normal,0,10,0,User,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,2
183,Mach Punch,Priority +1,Physical,40,Fighting,100,15,0,One opponent,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,0
184,Scary Face,Sharply lowers Spd (Status),Status,0,Normal,100,10,0,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,4
185,Faint Attack,Always hits,Physical,60,Dark,0,20,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,18,3
186,Sweet Kiss,Guaranteed Confusion (Status),Status,0,Normal,100,10,0,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,19,2
187,Belly Drum,Belly Drum effect,Status,0,Normal,0,1,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11,2
188,Sludge Bomb,Chance to Poison,Special,95,Poison,100,10,30,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18,4
189,Mud-Slap,Lowers Accuracy (Attack),Special,20,Ground,100,10,100,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,2
190,Octazooka,Lowers Accuracy (Attack),Special,95,Water,100,10,50,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,4
191,Spikes,Spikes effect,Status,0,Ground,0,20,0,Opponent's side of field,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13,3
192,Zap Cannon,Chance to Paralyze,Special,120,Electric,50,5,100,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,4,0
193,Foresight,Ignores type immunities,Status,0,Normal,0,5,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,20,3
194,Destiny Bond,Destiny Bond effect,Status,0,Ghost,0,5,0,User,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,3
195,Perish Song,All users on field faint in 3 turns,Status,0,Normal,0,5,0,Entire field,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,1
196,Icy Wind,Lowers Spd (Attack),Special,55,Ice,95,15,100,Both opponents,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,1
197,Detect,Protect/ Detect effect,Status,0,Fighting,0,10,0,User,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,0
198,Bone Rush,Hits target 2-5 times,Physical,25,Ground,100,10,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,4
199,Lock-On,Next move used by user guaranteed to hit,Status,0,Normal,0,5,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,20,3
200,Outrage,"1/2 damage dealt recoil, fixed AI",Physical,140,Dragon,100,15,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,7,0
201,Sandstorm,Causes Sandstorm,Status,0,Rock,0,1,0,Entire field,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,4
202,Giga Drain,Damages target; heals user up to 50% of damage dealt,Special,75,Grass,100,15,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,20,3
203,Endure,Allows user to endure a fatal hit and survive at 1 HP,Status,0,Normal,0,10,0,User,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,13,4
204,Charm,Sharply lowers Atk (Status),Status,0,Normal,100,3,0,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,19,2
205,Rollout,None,Physical,40,Rock,100,5,0,One opponent,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,4
206,False Swipe,False Swipe effect,Physical,40,Normal,100,40,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,16,0
207,Swagger,Sharply raises target's Atk and causes Confusion,Status,0,Normal,100,15,0,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,19,2
208,Milk Drink,Restores up to 50% max HP,Status,0,Normal,0,10,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,2
209,Wild Charge,Chance of causing Paralysis; 1/3 damage dealt recoil,Physical,120,Electric,100,20,20,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,0
210,Fury Cutter,Hits the target up to 3 times; increases power by 10 with each hit,Physical,30,Bug,100,20,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,0
211,Steel Wing,Chance of raising Def,Physical,80,Steel,100,25,10,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,0
212,Mean Look,Prevents target from switching out or fleeing,Status,0,Normal,0,5,0,One opponent,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,10,1
213,Attract,Infatuates target of opposite gender,Status,0,Normal,100,15,0,Both opponents,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,19,2
214,Sleep Talk,Sleep Talk effect,Status,0,Normal,0,20,0,Automatic,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,2
215,Heal Bell,Heal Bell effect,Status,0,Normal,0,1,0,User's side of field,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8,1
216,Return,None,Physical,121,Normal,100,20,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,17,2
217,Present,Present Effect,Physical,1,Normal,100,15,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,16,2
218,Frustration,None,Physical,121,Normal,100,20,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,18,2
219,Safeguard,Safeguard effect,Status,0,Normal,0,5,0,User's side of field,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,13,1
220,Pain Split,Pain Split effect,Status,0,Normal,0,20,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,10,3
221,Sacred Fire,Thaws user; chance to Burn,Physical,120,Fire,100,5,50,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,22,1
222,Bulldoze,Lowers Spd (Attack),Physical,60,Ground,100,30,100,Both opponents and ally,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,18,4
223,DynamicPunch,Chance to Confuse,Physical,120,Fighting,50,5,100,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,18,0
224,Megahorn,High crit ratio,Physical,120,Bug,85,10,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,18,0
225,DragonBreath,Chance to Paralyze,Special,70,Dragon,100,20,30,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,17,0
226,Baton Pass,Baton Pass effect,Status,0,Normal,0,40,0,User,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,2
227,Encore,Locks target into last move used for 3-7 turns,Status,0,Normal,100,3,0,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,20,2
228,Pursuit,Pursuit effect,Physical,70,Dark,100,15,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,20,3
229,HP Fire,None,Special,70,Fire,100,15,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,17,0
230,Sweet Scent,Lowers Evasion (Status),Status,0,Normal,100,2,0,Both opponents,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,19,2
231,Iron Tail,Lowers Def (Attack),Physical,120,Steel,90,15,30,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18,0
232,Metal Claw,Chance of raising Atk,Physical,50,Steel,100,35,10,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18,0
233,Vital Throw,Always hits,Physical,90,Fighting,0,10,0,One opponent,-1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,0
234,Morning Sun,Synthesis effect,Status,0,Normal,0,5,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,1
235,Synthesis,Synthesis effect,Status,0,Grass,0,5,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8,3
236,Moonlight,Synthesis effect,Status,0,Normal,0,5,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,8,1
237,Hidden Power,Hidden Power effect,Special,1,Normal,100,15,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,23,3
238,Cross Chop,High crit ratio,Physical,100,Fighting,85,5,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,18,0
239,Twister,Whirlpool effect,Special,90,Dragon,100,15,0,Both opponents,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,0
240,Rain Dance,Causes Rain,Status,0,Water,0,1,0,Entire field,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,4
241,Sunny Day,Causes Harsh Sunlight,Status,0,Fire,0,1,0,Entire field,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,1
242,Crunch,Lowers Def (Attack),Physical,95,Dark,100,15,20,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18,4
243,Mirror Coat,Mirror Coat effect,Special,1,Psychic,100,20,0,Automatic,-5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,1
244,Psych Up,Copies all of target's stat boosts,Status,0,Normal,0,10,0,One opponent,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11,3
245,ExtremeSpeed,None,Physical,100,Normal,100,8,0,One opponent,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0
246,AncientPower,Ancient Power boost,Special,80,Rock,100,10,10,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18,4
247,Shadow Ball,Lowers SpDef (Attack),Special,90,Ghost,100,15,20,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17,3
248,Future Sight,Future Sight effect,Special,120,Psychic,100,15,0,One opponent,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,3
249,Rock Smash,Lowers Def (Attack),Physical,40,Fighting,100,15,50,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18,4
250,Whirlpool,Whirlpool effect,Special,90,Water,100,15,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,21,1
251,Beat Up,Beat Up effect,Physical,30,Dark,100,10,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,3
252,Fake Out,Guaranteed Flinch; can only be used turn 1,Physical,40,Normal,100,5,100,One opponent,3,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17,2
253,Uproar,Uproar effect,Special,50,Normal,100,10,0,Random,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,10,2
254,Stockpile,Raises user's Def and SpDef,Status,0,Normal,0,10,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11,4
255,HP Rock,None,Special,70,Rock,100,15,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,4
256,Swallow,Whirlpool effect,Physical,90,Poison,100,10,0,One opponent,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8,4
257,Heat Wave,Chance to Burn,Special,100,Fire,100,10,10,Both opponents,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17,1
258,Hail,Causes Hail,Status,0,Ice,0,1,0,Entire field,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,1
259,Torment,Torment effect,Status,0,Dark,100,15,0,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,16,4
260,Flatter,Raises target's SpAtk and causes Confusion,Status,0,Dark,100,15,0,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,19,3
261,Will-O-Wisp,Guaranteed Burn; activates Flash Fire,Status,0,Fire,85,15,0,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,17,1
262,Memento,Selfdestruct/ Explosion effect,Special,255,Dark,100,10,0,One opponent,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9,4
263,Facade,2x power if user is Poisoned; Paralyzed; or Burned.,Physical,80,Normal,100,20,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,15,2
264,Focus Punch,Focus Punch effect,Physical,150,Fighting,100,20,0,One opponent,-3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,4
265,SmellingSalt,2x power if target is Paralyzed; cures target of Paralysis,Physical,90,Normal,100,10,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,16,3
266,Follow Me,Redirects all moves to user,Status,0,Normal,0,20,0,User,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,2
267,Nature Power,Nature Power effect,Status,0,Normal,0,20,0,Automatic,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,14,1
268,Charge,Next move deals 2x damage if it is Electric-type,Status,0,Electric,0,1,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,3
269,HP Dark,None,Special,70,Dark,100,15,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,16,3
270,Helping Hand,Ally's attack deals 1.5x damage this turn,Status,0,Normal,0,20,0,Automatic (fails if there is no ally),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,3
271,HP Psychic,None,Special,70,Psychic,100,15,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,12,3
272,Role Play,User copies target's Ability,Status,0,Psychic,0,10,0,One opponent,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,2
273,Wish,1/2 of user's max HP is restored at the end of next turn,Status,0,Normal,0,10,0,User,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,2
274,Assist,Assist effect,Status,0,Normal,0,35,0,Automatic,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,2
275,Ingrain,Ingrain effect,Status,0,Grass,0,1,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,21,3
276,Superpower,"1/2 damage dealt recoil, fixed AI",Physical,140,Fighting,100,5,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,18,4
277,Magic Coat,Reflects status moves back at their user,Status,0,Psychic,0,15,0,Automatic,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,1
278,Recycle,User regains a consumed held item,Status,0,Normal,0,15,0,User,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,12,3
279,Revenge,2x Power if user moves after target,Physical,60,Fighting,100,10,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,15,4
280,Brick Break,Removes Light Screen/ Reflect from target's side of the field,Physical,75,Fighting,100,15,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,0
281,Yawn,Causes Sleep,Status,0,Normal,70,10,100,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,19,2
282,Knock Off,Renders the target's held item unusable,Physical,80,Dark,100,20,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,3
283,Endeavor,Target's HP becomes equal to the user's current HP,Physical,1,???,100,5,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,15,4
284,Eruption,Chance of causing Burn; 1/3 damage dealt recoil,Special,150,Fire,100,5,20,Both opponents,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,18,1
285,Skill Swap,User swaps Abilities with the target,Status,0,Psychic,0,2,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,12,3
286,Imprison,Target is prevented from using moves shared with the user,Status,0,Psychic,0,10,0,User,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,3
287,Refresh,Cures user of Burn; Poison; or Paralysis,Status,0,Normal,0,10,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,23,2
288,Grudge,Grudge effect,Status,0,Ghost,0,5,0,User,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,4
289,Drill Run,High crit ratio,Physical,80,Ground,100,10,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,12,3
290,Secret Power,Secret Power effect,Physical,85,Normal,100,20,30,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14,3
291,Dive,None,Physical,80,Water,100,10,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,6,1
292,HP Fighting,None,Special,70,Fighting,100,15,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,4
293,Camouflage,Camouflage effect,Status,0,Normal,0,20,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,13,3
294,Tail Glow,Sharply raises SpAtk (Status),Status,0,Bug,0,20,0,User,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,1
295,Luster Purge,Lowers SpDef (Attack),Special,100,Psychic,100,5,50,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,22,3
296,Mist Ball,Lowers SpAtk (Attack),Special,100,Psychic,100,5,50,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,22,3
297,FeatherDance,Sharply lowers Atk (Status),Status,0,Flying,100,3,0,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,19,1
298,Teeter Dance,Guaranteed Confusion (Status),Status,0,Normal,100,20,0,Both opponents and ally,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14,2
299,Blaze Kick,Chance of causing Burn; increased Crit ratio,Physical,100,Fire,100,10,20,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17,1
300,HP Ground,None,Special,70,Ground,100,15,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,2
301,Ice Ball,Always hits in Hail,Physical,120,Ice,70,5,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,7,1
302,Needle Arm,None,Physical,80,Grass,100,15,30,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,3
303,Slack Off,Restores up to 50% max HP,Status,0,Normal,0,10,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8,2
304,Hyper Voice,None,Special,110,Normal,100,10,0,Both opponents,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,0
305,Poison Fang,Chance of Badly Poisoning,Physical,90,Poison,100,15,40,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,3
306,Crush Claw,Lowers Def (Attack),Physical,120,Normal,95,10,50,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,0
307,Blast Burn,Chance of causing Burn; 1/3 damage dealt recoil,Special,150,Fire,95,5,30,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,22,1
308,Hydro Cannon,"1/2 damage dealt recoil, fixed AI",Special,150,Water,95,5,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,9,2
309,Meteor Mash,Chance of raising Atk,Physical,100,Steel,100,10,20,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,18,0
310,Astonish,Chance to Flinch,Physical,40,Ghost,100,15,30,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,23,3
311,Weather Ball,Type changes to match weather,Special,50,Normal,100,10,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,3
312,Aromatherapy,Heal Bell effect,Status,0,Grass,0,1,0,User's side of field,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,3
313,Fake Tears,Sharply lowers Spd (Status),Status,0,Dark,100,3,0,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,19,3
314,Air Cutter,High crit ratio,Special,60,Flying,100,25,0,Both opponents,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,0
315,Overheat,Chance of causing Burn; 1/3 damage dealt recoil,Special,120,Fire,100,5,10,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,22,1
316,Odor Sleuth,Ignores type immunities,Status,0,Normal,0,40,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,20,3
317,Rock Tomb,Lowers Spd (Attack),Physical,70,Rock,100,10,100,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,3
318,Silver Wind,Ancient Power boost,Special,80,Bug,0,5,10,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,1
319,Metal Sound,Sharply lowers Spd (Status),Status,0,Steel,100,3,0,Both opponents,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,10,3
320,GrassWhistle,Causes Sleep,Status,0,Grass,70,15,0,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,19,3
321,Tickle,Lowers target's Atk and Def,Status,0,Normal,100,6,0,One opponent,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,19,2
322,Cosmic Power,Raises user's Def and SpDef,Status,0,Psychic,0,6,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,11,0
