Name,Effect,Chance
Thunderbolt,BATTLE_EFFECT_PARALYZE_HIT,10
Tickle,BATTLE_EFFECT_ATK_DEF_DOWN,0
Torment,BATTLE_EFFECT_TORMENT,0
Toxic,BATTLE_EFFECT_STATUS_BADLY_POISON,0
Toxic Spikes,BATTLE_EFFECT_TOXIC_SPIKES,0
Transform,BATTLE_EFFECT_TRANSFORM,0
Tri Attack,BATTLE_EFFECT_TRI_ATTACK,30
Trick Room,BATTLE_EFFECT_TRICK_ROOM,0
Triple Axel,BATTLE_EFFECT_RANDOM_DAMAGE_1_TO_150_LEVEL,0
Triple Kick,BATTLE_EFFECT_HIT_THREE_TIMES,0
Trump Card,BATTLE_EFFECT_HIGHER_POWER_WHEN_LOW_PP,0
Twineedle,BATTLE_EFFECT_POISON_MULTI_HIT,30
Twister,BATTLE_EFFECT_WHIRLPOOL,0
U-turn,BATTLE_EFFECT_SWITCH_HIT,0
Uproar,BATTLE_EFFECT_UPROAR,0
Vacuum Wave,BATTLE_EFFECT_PRIORITY_1,0
Vine Whip,BATTLE_EFFECT_HIT,0
ViceGrip,BATTLE_EFFECT_WHIRLPOOL,0
Vital Throw,BATTLE_EFFECT_BYPASS_ACCURACY,0
Volt Tackle,BATTLE_EFFECT_RECOIL_PARALYZE_HIT,30
Wake-Up Slap,BATTLE_EFFECT_DOUBLE_POWER_HEAL_SLEEP,100
Water Ball,BATTLE_EFFECT_HIT,0
Water Gun,BATTLE_EFFECT_HIT,0
Water Pulse,BATTLE_EFFECT_CONFUSE_HIT,20
Water Spout,BATTLE_EFFECT_DECREASE_POWER_WITH_LESS_USER_HP,0
Waterfall,BATTLE_EFFECT_FLINCH_HIT,20
Weather Ball,BATTLE_EFFECT_CHANGE_TYPE_WITH_WEATHER,0
Whirlpool,BATTLE_EFFECT_WHIRLPOOL,0
Whirlwind,BATTLE_EFFECT_FORCE_SWITCH,0
Wild Charge,BATTLE_EFFECT_RECOIL_PARALYZE_HIT,20
Will-O-Wisp,BATTLE_EFFECT_STATUS_BURN,0
Wing Attack,BATTLE_EFFECT_HIT,0
Wish,BATTLE_EFFECT_HEAL_IN_3_TURNS,0
Withdraw,BATTLE_EFFECT_DEF_UP,0
Wood Hammer,BATTLE_EFFECT_RECOIL_THIRD,0
Worry Seed,BATTLE_EFFECT_SET_ABILITY_TO_INSOMNIA,0
Wrap,BATTLE_EFFECT_WHIRLPOOL,0
Wring Out,BATTLE_EFFECT_DOUBLE_POWER_WHEN_BELOW_HALF,0
X-Scissor,BATTLE_EFFECT_HIGH_CRITICAL,0
Yawn,BATTLE_EFFECT_STATUS_SLEEP,100
Zap Cannon,BATTLE_EFFECT_PARALYZE_HIT,100
Zen Headbutt,BATTLE_EFFECT_FLINCH_HIT,20
