Name,Hold Effect,Effect Param,Natural Gift Power,Natural Gift Type,Fling Power,Fling Effect
Smoke Ball,HOLD_EFFECT_FLEE,0,0,,30,FLING_EFFECT_NONE
Smooth Rock,HOLD_EFFECT_EXTEND_SANDSTORM,3,0,,10,FLING_EFFECT_NONE
Snow Mail,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Soda Pop,HOLD_EFFECT_NONE,60,0,,30,FLING_EFFECT_NONE
Soft Sand,HOLD_EFFECT_STRENGTHEN_GROUND,20,0,,10,FLING_EFFECT_NONE
Soothe Bell,HOLD_EFFECT_FRIENDSHIP_UP,0,0,,10,FLING_EFFECT_NONE
Soul Dew,HOLD_EFFECT_LATI_SPECIAL,0,0,,30,FLING_EFFECT_NONE
Space Mail,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Spell Tag,HOLD_EFFECT_STRENGTHEN_GHOST,20,0,,30,FLING_EFFECT_NONE
Spelon Berry,HOLD_EFFECT_NONE,0,70,Dark,10,FLING_EFFECT_NONE
Splash Plate,HOLD_EFFECT_ARCEUS_WATER,20,0,,90,FLING_EFFECT_NONE
Spooky Plate,HOLD_EFFECT_ARCEUS_GHOST,20,0,,90,FLING_EFFECT_NONE
Sprayduck,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Stable Mulch,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Star Piece,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Stardust,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Starf Berry,HOLD_EFFECT_PINCH_RANDOM_UP,4,80,Psychic,10,FLING_EFFECT_RANDOM_UP2
Steel Mail,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Stick,HOLD_EFFECT_FARFETCHD_CRITRATE_UP,0,0,,60,FLING_EFFECT_NONE
Sticky Barb,HOLD_EFFECT_DMG_USER_CONTACT_XFR,8,0,,80,FLING_EFFECT_NONE
Stone Plate,HOLD_EFFECT_ARCEUS_ROCK,20,0,,90,FLING_EFFECT_NONE
Storage Key,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Suite Key,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Sun Stone,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Super Potion,HOLD_EFFECT_NONE,50,0,,30,FLING_EFFECT_NONE
Super Repel,HOLD_EFFECT_NONE,200,0,,30,FLING_EFFECT_NONE
Super Rod,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Tamato Berry,HOLD_EFFECT_NONE,0,70,Psychic,10,FLING_EFFECT_NONE
Tanga Berry,HOLD_EFFECT_WEAKEN_SE_BUG,0,60,Bug,10,FLING_EFFECT_NONE
Thick Club,HOLD_EFFECT_CUBONE_ATK_UP,0,0,,90,FLING_EFFECT_NONE
Thunderstone,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Timer Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TinyMushroom,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
TM01,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM02,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM03,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM04,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM05,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM06,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM07,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM08,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM09,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM10,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM11,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM12,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM13,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM14,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM15,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM16,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM17,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM18,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM19,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM20,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM21,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM22,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM23,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM24,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM25,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM26,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM27,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM28,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM29,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM30,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM31,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM32,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM33,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM34,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM35,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM36,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM37,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM38,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM39,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM40,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM41,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM42,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM43,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM44,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM45,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM46,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM47,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM48,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM49,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM50,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM51,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM52,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM53,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM54,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM55,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM56,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM57,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM58,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM59,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM60,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM61,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM62,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM63,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM64,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM65,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM66,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM67,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM68,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM69,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM70,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM71,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM72,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM73,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM74,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM75,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM76,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM77,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM78,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM79,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM80,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM81,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM82,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM83,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM84,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM85,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM86,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM87,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM88,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM89,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM90,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM91,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TM92,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Town Map,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Toxic Orb,HOLD_EFFECT_PSN_USER,0,0,,30,FLING_EFFECT_BADLY_POISON
Toxic Plate,HOLD_EFFECT_ARCEUS_POISON,20,0,,90,FLING_EFFECT_NONE
Tunnel Mail,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
TwistedSpoon,HOLD_EFFECT_STRENGTHEN_PSYCHIC,20,0,,30,FLING_EFFECT_NONE
Ultra Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Up-Grade,HOLD_EFFECT_EVOLVE_PORYGON,0,0,,30,FLING_EFFECT_NONE
Vs. Recorder,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Vs. Seeker,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Wacan Berry,HOLD_EFFECT_WEAKEN_SE_ELECTRIC,0,60,Electric,10,FLING_EFFECT_NONE
Water Stone,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Watmel Berry,HOLD_EFFECT_NONE,0,80,Fire,10,FLING_EFFECT_NONE
Wave Incense,HOLD_EFFECT_STRENGTHEN_WATER,20,0,,10,FLING_EFFECT_NONE
Wepear Berry,HOLD_EFFECT_NONE,0,70,Electric,10,FLING_EFFECT_NONE
White Flute,HOLD_EFFECT_NONE,150,0,,30,FLING_EFFECT_NONE
White Herb,HOLD_EFFECT_STATDOWN_RESTORE,0,0,,10,FLING_EFFECT_STATDOWN_RESTORE
Wide Lens,HOLD_EFFECT_ACCURACY_UP,10,0,,10,FLING_EFFECT_NONE
Wiki Berry,HOLD_EFFECT_HP_RESTORE_DRY,8,60,Rock,10,FLING_EFFECT_HP_RESTORE_DRY
Wise Glasses,HOLD_EFFECT_POWER_UP_SPEC,10,0,,10,FLING_EFFECT_NONE
Works Key,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
X Accuracy,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
X Attack,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
X Defend,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
X Sp. Def,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
X Special,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
X Speed,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Yache Berry,HOLD_EFFECT_WEAKEN_SE_ICE,0,60,Ice,10,FLING_EFFECT_NONE
Yellow Flute,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Yellow Scarf,HOLD_EFFECT_NONE,0,0,,10,FLING_EFFECT_NONE
Yellow Shard,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Zap Plate,HOLD_EFFECT_ARCEUS_ELECTRIC,20,0,,90,FLING_EFFECT_NONE
Zinc,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Zoom Lens,HOLD_EFFECT_ACCURACY_UP_SLOWER,20,0,,10,FLING_EFFECT_NONE
